p1,p2,p3,p4
0.012068,0.0011499,0.27062,13.176
0.0097053,0.0036934,1.1799,0.26859
0.011293,0.0035719,0.22697,0.0047104
0.008387,0.0020026,0.43195,2.1253
0.015411,0.0010174,1.3087,19.585
0.0060676,3.83E-06,0.65007,35.112
0.009845,0.0031653,0.9302,2.6298
0.013426,0.0027896,0.07529,24.574
0.010814,0.0036487,0.41331,2.3541
0.013558,0.0028693,0.49084,5.3871
0.005368,0.00043644,0.397,0.0047101
0.013535,0.0017745,0.86819,4.2006
0.010701,0.0029271,0.84951,3.3454
0.0086213,0.00090746,4.3457,0.0050828
0.0084505,0.0020053,0.71689,1.6615
0.0081993,0.00059802,0.61966,8.0527
0.0075499,0.001107,0.59242,1.694
0.011589,0.002344,0.55491,9.251
0.0058154,0.0017566,0.66282,3.1286
0.0064609,0.0015043,0.61367,4.1202
0.0083374,0.0040043,0.63025,5.2026
0.012684,0.0010949,1.4885,9.1009
0.017969,0.0017573,0.83032,3.3867
0.0023475,3.80E-06,0.92122,4.6758
0.0134,0.0045932,3.3688,0.00471
0.010696,0.0035165,0.60468,0.49454
0.0079315,0.0017787,0.42624,0.004715
0.0054758,0.00058163,0.53677,5.1082
0.0078188,0.0026411,0.62221,0.14672
0.0098515,0.005892,0.28701,1.4451
0.0085772,3.80E-06,0.86239,11.117
0.011851,0.0026081,0.90453,1.8386
0.0060847,0.00053826,1.2659,14.197
0.013747,0.0051108,0.75425,1.9235
0.0077605,0.0036456,0.65777,0.00471
0.0071895,0.00014069,0.47408,2.0062
0.01302,0.0013092,0.58861,0.2902
0.0097557,0.0020872,0.94629,9.1701
0.0092697,0.002808,0.6923,0.85099
0.003886,0.00042438,3.1593,0.00471
0.013609,0.0018676,0.46702,6.4505
0.014455,0.0017583,2.1403,0.57729
0.011874,0.0026076,0.73937,0.0047101
0.01123,0.00099436,0.62931,0.0047104
0.0068509,0.0010671,0.39141,4.1622
0.0083899,0.00083591,0.16655,5.03
0.0060706,0.00082254,0.97172,8.177
0.018159,0.00041063,1.1326,17.795
0.015921,0.0011687,0.58097,3.5624
0.012832,0.0021853,0.86486,3.8385
0.0091255,0.0054045,1.2654,0.0047101
0.011583,0.0022549,0.58799,0.58327
0.016236,0.0023527,0.27419,0.96479
0.0085374,0.00060379,0.28562,11.563
0.014129,0.00089195,0.42248,3.1431
0.0093236,0.0014386,0.1823,2.78
0.0086913,0.0014529,0.58403,4.0098
0.019413,0.0024379,0.66531,3.549
0.0083709,0.0062063,0.092351,0.00471
0.0089038,0.0012227,2.0574,0.0047137
0.010599,0.0017985,0.8239,6.1941
0.0078935,0.00185,4.2266,7.6521
0.017175,0.00059456,1.3012,1.7176
0.0069047,0.00023058,0.94598,8.4144
0.008689,0.0018212,1.266,0.18001
0.0097864,0.0016614,2.7825,1.7335
0.0094757,0.00027622,1.4288,0.69471
0.011571,3.80E-06,1.1581,7.7872
0.0093295,0.001399,0.29525,2.7548
0.0028222,3.81E-06,1.5539,44.816
0.0083842,0.0021603,0.34167,0.42655
0.011409,0.0013425,0.867,2.3531
0.006719,0.0010165,0.80148,8.5114
0.0076305,0.0034178,0.75377,0.80413
0.014044,0.0047462,0.76492,2.7833
0.0098903,0.0020619,1.2813,1.2628
0.015121,0.002991,0.34939,2.1211
0.00078002,8.10E-05,58.403,0.044694
0.012179,0.0086784,1.1169,0.00471
0.0092788,0.00074704,2.2943,34.546
0.013374,0.003305,0.23263,1.5631
0.012167,0.0040728,0.80397,7.966
0.02261,0.0058593,0.39374,2.8723
0.0021273,0.0013867,0.35696,16.536
0.02113,0.0033974,0.51422,1.7726
0.0095259,0.0012346,0.45934,1.3598
0.008215,0.00036637,3.2939,0.0047197
0.012636,0.0021801,1.5261,10.595
0.015556,0.0087195,0.34378,0.58353
0.018282,0.0051376,1.8671,2.388
0.011521,0.0037046,0.075742,0.58042
0.016532,0.00052856,0.66339,8.4028
0.014248,0.0052498,0.19938,0.51468
0.018917,0.0022332,1.0208,16.88
0.0096239,0.0033624,0.1622,0.964
0.029324,0.0031862,1.5871,12.744
0.0053785,0.0040386,0.91932,4.1292
0.0099461,0.0016183,1.197,0.0047103
0.0073003,0.0026342,1.8577,0.00471
0.020451,0.0013604,1.0419,14.462
0.0074069,0.002069,0.73913,6.2749
0.0088588,0.001791,0.32676,1.5741
0.013099,0.0017677,0.40392,3.0691
0.013008,0.002415,1.5289,6.5112
0.01442,0.012055,1.0034,0.00471
0.011004,0.00258,0.57673,4.5673
0.014946,0.00070752,0.98896,3.6665
0.011811,0.003824,3.5846,10.422
0.010447,0.0033676,0.51163,0.20629
